Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
30/10/2014 13:32:09.415,0,13.4,-3276.8,22,0.01,0.03,4.177,96,28.000,65535.000,255,0.000800,0.000080,0,65535,0,65535,0,0,-0.97,-0.90,-0.19,-0.13,-0.36,-0.31,29.1,531,255,-128,-128,37.1,414,415,495
30/10/2014 13:32:10.415,0,13.4,-3276.8,22,0.01,0.02,4.177,96,26.000,65535.000,255,0.000800,0.000080,0,65535,0,65535,0,0,-0.97,-0.92,-0.18,-0.14,-0.36,-0.31,29.1,531,255,-128,-128,37.1,413,414,494
30/10/2014 13:32:11.415,0,13.5,-3276.8,22,0.01,0.03,4.177,96,24.000,65535.000,255,0.000800,0.000080,0,65535,0,65535,0,0,-0.97,-0.91,-0.19,-0.12,-0.36,-0.31,29.1,531,255,-128,-128,37.1,414,415,492
30/10/2014 13:32:12.415,0,13.5,-3276.8,21,0.02,0.04,4.177,96,24.000,65535.000,255,0.000800,0.000140,0,65535,0,65535,0,0,-0.98,-0.91,-0.18,-0.10,-0.36,-0.31,29.1,531,255,-128,-128,37.1,414,414,494
30/10/2014 13:32:13.415,0,13.7,-3276.8,21,0.05,0.12,4.177,96,28.000,65535.000,255,0.000800,0.000140,0,65535,0,65535,0,0,-0.98,-0.91,-0.16,-0.02,-0.34,-0.25,29.1,531,255,-128,-128,37.1,413,414,493
30/10/2014 13:32:14.415,0,13.7,-3276.8,21,0.02,0.06,4.177,96,26.000,65535.000,255,0.000800,0.000100,0,65535,0,65535,0,0,-0.97,-0.92,-0.13,-0.04,-0.37,-0.32,29.1,531,255,-128,-128,37.1,413,414,494
30/10/2014 13:32:15.415,0,14.1,-3276.8,21,0.01,0.04,4.177,96,24.000,65535.000,255,0.000800,0.000100,0,65535,0,65535,0,0,-0.97,-0.92,-0.12,-0.06,-0.37,-0.31,29.1,531,255,-128,-128,37.1,413,414,494
30/10/2014 13:32:16.415,0,14.1,-3276.8,21,0.02,0.04,4.177,96,25.000,65535.000,255,0.000800,0.000100,0,65535,0,65535,0,0,-0.97,-0.92,-0.15,-0.04,-0.38,-0.31,29.1,531,255,-128,-128,37.1,413,415,493
30/10/2014 13:32:17.415,0,14.5,-3276.8,21,0.01,0.04,4.177,96,24.000,65535.000,255,0.000800,0.000100,0,65535,0,65535,0,0,-0.97,-0.90,-0.13,-0.06,-0.36,-0.31,29.1,531,255,-128,-128,37.1,413,415,494
30/10/2014 13:32:18.415,0,14.5,-3276.8,21,0.03,0.07,4.177,96,23.000,65535.000,255,0.000800,0.000120,0,65535,0,65535,0,0,-1.01,-0.89,-0.14,-0.02,-0.37,-0.30,29.0,531,255,-128,-128,37.1,413,414,493
30/10/2014 13:32:19.415,0,14.8,-3276.8,20,0.03,0.08,4.177,96,23.000,65535.000,255,0.000800,0.000120,0,65535,0,65535,0,0,-0.98,-0.91,-0.10,0.00,-0.36,-0.30,29.0,531,255,-128,-128,37.1,406,408,468
30/10/2014 13:32:20.415,0,14.8,-3276.8,22,0.12,0.21,4.177,96,24.000,65535.000,255,0.000800,0.000220,0,65535,0,65535,0,0,-0.98,-0.87,-0.06,0.14,-0.51,-0.32,29.0,528,255,-128,-128,37.1,413,414,493
30/10/2014 13:32:21.415,0,15.1,-3276.8,24,0.07,0.16,4.177,96,22.000,65535.000,255,0.000800,0.000160,0,65535,0,65535,0,0,-0.93,-0.87,0.01,0.12,-0.50,-0.39,29.0,531,255,-128,-128,37.1,413,413,493
30/10/2014 13:32:22.415,0,15.1,-3276.8,25,0.03,0.09,4.177,96,22.000,65535.000,255,0.000800,0.000140,0,65535,0,65535,0,0,-0.93,-0.86,0.00,0.08,-0.51,-0.39,29.0,531,255,-128,-128,37.1,416,417,496
30/10/2014 13:32:23.415,0,15.7,-3276.8,21,0.15,0.25,4.177,96,22.000,65535.000,255,0.000800,0.000160,0,65535,0,65535,0,0,-1.02,-0.89,-0.22,0.06,-0.43,-0.20,29.0,531,255,-128,-128,37.1,413,415,492
